Tool,Link,Description
proxmark3,https://github.com/RfidResearchGroup/proxmark3,Open source RFID research toolkit.
sipvicious,https://github.com/enablesecurity/sipvicious,Enumeration and MITM tool for SIP devices
hackrf,https://github.com/mossmann/hackrf,Low cost software defined radio platform
gqrx,https://github.com/csete/gqrx,Software defined radio receiver powered by GNU Radio and Qt
rtl-433,https://github.com/merbanan/rtl_433,Tool for decoding various wireless protocols/ signals such as those used by weather stations
mousejack,https://github.com/BastilleResearch/mousejack,Exploit to take over a wireless mouse and keyboard
jackit,https://github.com/insecurityofthings/jackit,Exploit to take over a wireless mouse and keyboard
wireshark,https://github.com/wireshark/wireshark,Wireshark is a network protocol analyzer that lets you see what’s happening on your network at a microscopic level.
tshark,https://github.com/wireshark/wireshark,TShark is a terminal version of Wireshark.
hping3,https://github.com/antirez/hping,A network tool able to send custom TCP/IP packets
masscan,https://github.com/robertdavidgraham/masscan,Masscan is an Internet-scale port scanner
netdiscover,https://github.com/netdiscover-scanner/netdiscover,netdiscover is an active/passive address reconnaissance tool
tcpdump,https://github.com/the-tcpdump-group/tcpdump,a powerful command-line packet analyzer for Unix-like systems
iptables,https://linux.die.net/man/8/iptables,Userspace command line tool for configuring kernel firewall
traceroute,https://github.com/iputils/iputils,Traceroute is a command which can show you the path a packet of information takes from your computer to one you specify.
dns2tcp,https://github.com/alex-sector/dns2tcp,dns2tcp is a tool for relaying TCP connections over DNS.
freerdp2-x11,https://github.com/FreeRDP/FreeRDP,FreeRDP is a free implementation of the Remote Desktop Protocol (RDP) released under the Apache license.
rdesktop,https://github.com/rdesktop/rdesktop,rdesktop is a client for Remote Desktop Protocol (RDP) used in a number of Microsoft products including Windows NT Terminal Server / Windows 2000 Server / Windows XP and Windows 2003 Server.
xtightvncviewer,https://www.commandlinux.com/man-page/man1/xtightvncviewer.1.html,xtightvncviewer is an open source VNC client software.
hydra,https://github.com/vanhauser-thc/thc-hydra,Hydra is a parallelized login cracker which supports numerous protocols to attack.
mariadb-client,https://github.com/MariaDB/server,MariaDB is a community-developed fork of the MySQL relational database management system. The mariadb-client package includes command-line utilities for interacting with a MariaDB server.
redis-tools,https://github.com/antirez/redis-tools,redis-tools is a collection of Redis client utilities including redis-cli and redis-benchmark.
mitmproxy,https://github.com/mitmproxy/mitmproxy,mitmproxy is an interactive SSL/TLS-capable intercepting proxy with a console interface for HTTP/1 HTTP/2 and WebSockets.
proxychains,https://github.com/rofl0r/proxychains,Proxy chains - redirect connections through proxy servers.
remmina,https://github.com/FreeRDP/Remmina,Remote desktop client.
nmap,https://nmap.org,The Network Mapper - a powerful network discovery and security auditing tool
nmap-parse-ouptut,https://github.com/ernw/nmap-parse-output,Converts/manipulates/extracts data from a Nmap scan output.
udpx,https://github.com/nullt3r/udpx, Fast and lightweight - UDPX is a single-packet UDP scanner written in Go that supports the discovery of over 45 services with the ability to add custom ones.
autorecon,https://github.com/Tib3rius/AutoRecon,Multi-threaded network reconnaissance tool which performs automated enumeration of services.
dnschef,https://github.com/iphelix/dnschef,Tool for DNS MITM attacks
divideandscan,https://github.com/snovvcrash/divideandscan,Advanced subdomain scanner
chisel,https://github.com/jpillora/chisel,Go based TCP tunnel with authentication and encryption support
sshuttle,https://github.com/sshuttle/sshuttle,Transparent proxy server that tunnels traffic through an SSH server
eaphammer,https://github.com/s0lst1c3/eaphammer,EAPHammer is a toolkit for performing targeted evil twin attacks against WPA2-Enterprise networks.
fierce,https://github.com/mschwager/fierce,A DNS reconnaissance tool for locating non-contiguous IP space
dnsx,https://github.com/projectdiscovery/dnsx,A tool for DNS reconnaissance that can help identify subdomains and other related domains.
shuffledns,https://github.com/projectdiscovery/shuffledns,A fast and customizable DNS resolver that can be used for subdomain enumeration and other tasks.
tailscale,https://github.com/tailscale/tailscale,A secure and easy-to-use VPN alternative that is designed for teams and businesses.
ligolo-ng,https://github.com/nicocha30/ligolo-ng,An advanced yet simple tunneling tool that uses a TUN interface.
rustscan,https://github.com/RustScan/RustScan,The Modern Port Scanner
legba,https://github.com/evilsocket/legba,a multiprotocol credentials bruteforcer / password sprayer and enumerator built with Rust
ssh-audit,https://github.com/jtesta/ssh-audit,ssh-audit is a tool to test SSH server configuration for best practices.
aircrack-ng,https://www.aircrack-ng.org,A suite of tools for wireless penetration testing
reaver,https://github.com/t6x/reaver-wps-fork-t6x,reaver is a tool for brute-forcing WPS (Wireless Protected Setup) PINs.
bully,https://github.com/aanarchyy/bully,bully is a tool for brute-forcing WPS (Wireless Protected Setup) PINs.
cowpatty,https://github.com/joswr1ght/cowpatty,cowpatty is a tool for offline dictionary attacks against WPA-PSK (Pre-Shared Key) networks.
pyrit,https://github.com/JPaulMora/Pyrit,Python-based WPA/WPA2-PSK attack tool.
wifite2,https://github.com/derv82/wifite2,Script for auditing wireless networks.
bettercap,https://github.com/bettercap/bettercap,The Swiss Army knife for 802.11 / BLE / and Ethernet networks reconnaissance and MITM attacks.
hcxtools,https://github.com/ZerBea/hcxtools,Tools for capturing and analyzing packets from WLAN devices.
hcxdumptool,https://github.com/ZerBea/hcxdumptool,Small tool to capture packets from wlan devices.
pst-utils,https://manpages.debian.org/jessie/pst-utils/readpst.1,pst-utils is a set of tools for working with Outlook PST files.
foremost,https://doc.ubuntu-fr.org/foremost,Foremost is a forensic tool for recovering files based on their headers / footers / and internal data structures.
testdisk,https://github.com/cgsecurity/testdisk,Partition recovery and file undelete utility
fdisk,https://github.com/karelzak/util-linux,Collection of basic system utilities / including fdisk partitioning tool
sleuthkit,https://github.com/sleuthkit/sleuthkit,Forensic toolkit to analyze volume and file system data
binwalk,https://github.com/ReFirmLabs/binwalk,Binwalk is a tool for analyzing / reverse engineering / and extracting firmware images.
volatility2,https://github.com/volatilityfoundation/volatility,Volatile memory extraction utility framework
volatility3,https://github.com/volatilityfoundation/volatility3,Advanced memory forensics framework
trid,https://mark0.net/soft-trid-e.html,File identifier
peepdf,https://github.com/jesparza/peepdf,peepdf is a Python tool to explore PDF files in order to find out if the file can be harmful or not.
jadx,https://github.com/skylot/jadx,Java decompiler
chainsaw,https://github.com/WithSecureLabs/chainsaw,Rapidly Search and Hunt through Windows Forensic Artefacts
kubectl,https://kubernetes.io/docs/reference/kubectl/overview/,Command-line interface for managing Kubernetes clusters.
awscli,https://aws.amazon.com/cli/,Command-line interface for Amazon Web Services.
scout,https://github.com/nccgroup/ScoutSuite,Scout Suite is an open source multi-cloud security-auditing tool which enables security posture assessment of cloud environments.
cloudsplaining,https://github.com/salesforce/cloudsplaining,AWS IAM Security Assessment tool that identifies violations of least privilege and generates a risk-prioritized report.
cloudsploit,https://github.com/aquasecurity/cloudsploit,Cloud Security Posture Management
prowler,https://github.com/prowler-cloud/prowler,Perform Cloud Security best practices assessments / audits / incident response / compliance / continuous monitoring / hardening and forensics readiness.
cloudmapper,https://github.com/duo-labs/cloudmapper,CloudMapper helps you analyze your Amazon Web Services (AWS) environments.
azure-cli,https://github.com/Azure/azure-cli,A great cloud needs great tools; we're excited to introduce Azure CLI our next generation multi-platform command line experience for Azure.
stegosuite,https://github.com/osde8info/stegosuite,Stegosuite is a free steganography tool that allows you to hide data in image and audio files.
steghide,https://github.com/StefanoDeVuono/steghide,steghide is a steganography program that is able to hide data in various kinds of image and audio files.
exif,https://exiftool.org/,Utility to read / write and edit metadata in image / audio and video files
exiv2,https://github.com/Exiv2/exiv2,Image metadata library and toolset
hexedit,https://github.com/pixel/hexedit,View and edit binary files
zsteg,https://github.com/zed-0xff/zsteg,Detect steganography hidden in PNG and BMP images
stegolsb,https://github.com/KyTn/STEGOLSB,Steganography tool to hide data in BMP images using least significant bit algorithm
ltrace,https://github.com/dkogan/ltrace,ltrace is a debugging program for Linux and Unix that intercepts and records dynamic library calls that are called by an executed process.
nasm,https://github.com/netwide-assembler/nasm,NASM is an 80x86 assembler designed for portability and modularity.
wabt,https://github.com/WebAssembly/wabt,The WebAssembly Binary Toolkit (WABT) is a suite of tools for WebAssembly (Wasm) including assembler and disassembler / a syntax checker / and a binary format validator.
strace,https://github.com/strace/strace,strace is a debugging utility for Linux that allows you to monitor and diagnose system calls made by a process.
pwntools,https://github.com/Gallopsled/pwntools,a CTF framework and exploit development library
pwndbg,https://github.com/pwndbg/pwndbg,a GDB plugin that makes debugging with GDB suck less
angr,https://github.com/angr/angr,a platform-agnostic binary analysis framework
checksec-py,https://github.com/Wenzel/checksec.py,Python wrapper script for checksec.sh from paX.
radare2,https://github.com/radareorg/radare2,A complete framework for reverse-engineering and analyzing binaries
ghidra,https://github.com/NationalSecurityAgency/ghidra,Software reverse engineering suite of tools.
ida,https://www.hex-rays.com/products/ida/,Interactive disassembler for software analysis.
jd-gui,https://github.com/java-decompiler/jd-gui,A standalone Java Decompiler GUI
pwninit,https://github.com/io12/pwninit,A tool for automating starting binary exploit challenges
rsactftool,https://github.com/RsaCtfTool/RsaCtfTool,The rsactftool tool is used for RSA cryptographic operations and analysis.
tls-map,https://github.com/sec-it/tls-map,tls-map is a library for mapping TLS cipher algorithm names.
RsaCracker,https://github.com/skyf0l/RsaCracker,Powerful RSA cracker for CTFs. Supports RSA - X509 - OPENSSH in PEM and DER formats.
brakeman,https://github.com/presidentbeef/brakeman,Static analysis tool for Ruby on Rails applications
semgrep,https://github.com/returntocorp/semgrep/,Static analysis tool that supports multiple languages and can find a variety of vulnerabilities and coding errors.
pp-finder,https://github.com/yeswehack/pp-finder,Prototype pollution finder tool for javascript. pp-finder lets you find prototype pollution candidates in your code.
